left,right,same_location,same_event,level_corr,diff_corr,peak_ratio
greensboro/design_0007/greensboro_rural_inflow_02,greensboro/design_0398/greensboro_rural_inflow_01,True,False,-0.1002195356056907,0.0004445940522115089,22.946776684695354
greensboro/design_0007/greensboro_rural_inflow_02,greensboro/design_0398/greensboro_rural_inflow_03,True,False,-0.1005689738332321,0.0006009987603876897,56.82157860878924
greensboro/design_0007/greensboro_rural_inflow_03,greensboro/design_0398/greensboro_rural_inflow_01,True,False,-0.10534014475170649,0.0004538224477216234,11.753118651305282
greensboro/design_0007/greensboro_rural_inflow_03,greensboro/design_0398/greensboro_rural_inflow_03,True,False,-0.10565244635895277,0.0005952066253878399,29.103466884261277
greensboro/design_0007/greensboro_rural_inflow_01,greensboro/design_0398/greensboro_rural_inflow_01,True,False,-0.11296153810062622,0.0002732537313902146,22.77932325296642
greensboro/design_0007/greensboro_rural_inflow_01,greensboro/design_0398/greensboro_rural_inflow_03,True,False,-0.11335177037680665,0.000383449924293763,56.40692480076036
austin/design_0369/austin_p5u_inflow_06,greensboro/design_0007/greensboro_rural_inflow_02,False,False,-0.05948126639892064,-0.00011160764171511036,23.744312848453806
austin/design_0369/austin_p5u_inflow_06,greensboro/design_0007/greensboro_rural_inflow_03,False,False,-0.06263937354242421,-4.3459472293835976e-05,12.161609015340233
austin/design_0369/austin_p5u_inflow_06,greensboro/design_0007/greensboro_rural_inflow_01,False,False,-0.06546204215610135,-8.064916294111407e-06,23.571039419895495
austin/design_0369/austin_p5u_inflow_08,greensboro/design_0007/greensboro_rural_inflow_02,False,False,-0.06713664408658668,-0.00010837696715904265,136.3870225940835
austin/design_0369/austin_p5u_inflow_05,greensboro/design_0007/greensboro_rural_inflow_02,False,False,-0.06891391161872008,-9.573166372807408e-05,28.129629503846825
austin/design_0369/austin_p5u_inflow_08,greensboro/design_0007/greensboro_rural_inflow_03,False,False,-0.07083688446715292,-4.502110733012316e-05,69.85612319640697
austin/design_0369/austin_p5u_inflow_03,greensboro/design_0007/greensboro_rural_inflow_02,False,False,-0.0722926673814617,-6.345063173436558e-05,11.192772027251278
austin/design_0369/austin_p5u_inflow_05,greensboro/design_0007/greensboro_rural_inflow_03,False,False,-0.07270423986885886,-3.30201203934556e-05,14.407726092374212
austin/design_0369/austin_p5u_inflow_06,greensboro/design_0398/greensboro_rural_inflow_02,False,False,-0.07299390363947011,-0.0071561725541737274,1.9407293184510461
austin/design_0369/austin_p5u_inflow_08,greensboro/design_0007/greensboro_rural_inflow_01,False,False,-0.07413696084968598,-3.2829051747926494e-05,135.39174228563377
austin/design_0369/austin_p5u_inflow_07,greensboro/design_0007/greensboro_rural_inflow_02,False,False,-0.07418385682130539,-7.83420848263219e-05,150.5003384049846
austin/design_0369/austin_p5u_inflow_05,greensboro/design_0007/greensboro_rural_inflow_01,False,False,-0.07609965193844212,-2.1234105372096218e-05,27.92435435525376
